Country,date,indicator,value
Denmark,2020-03-13,Daily hospital occupancy,0.0
Denmark,2020-03-14,Daily hospital occupancy,0.0
Denmark,2020-03-15,Daily hospital occupancy,20.68965517241380
Denmark,2020-03-16,Daily hospital occupancy,56.89655172413790
Denmark,2020-03-17,Daily hospital occupancy,125.86206896551700
Denmark,2020-03-18,Daily hospital occupancy,155.17241379310300
Denmark,2020-03-19,Daily hospital occupancy,191.3793103448280
Denmark,2020-03-20,Daily hospital occupancy,220.6896551724140
Denmark,2020-03-21,Daily hospital occupancy,224.13793103448300
Denmark,2020-03-22,Daily hospital occupancy,241.3793103448280
Denmark,2020-03-23,Daily hospital occupancy,327.5862068965520
Denmark,2020-03-24,Daily hospital occupancy,353.448275862069
Denmark,2020-03-25,Daily hospital occupancy,401.7241379310350
Denmark,2020-03-26,Daily hospital occupancy,459.3103448275860
Denmark,2020-03-27,Daily hospital occupancy,500.0
Denmark,2020-03-28,Daily hospital occupancy,534.4827586206900
Denmark,2020-03-29,Daily hospital occupancy,546.551724137931
Denmark,2020-03-30,Daily hospital occupancy,553.448275862069
Denmark,2020-03-31,Daily hospital occupancy,586.2068965517240
Denmark,2020-04-01,Daily hospital occupancy,594.8275862068970
Denmark,2020-04-02,Daily hospital occupancy,908.6206896551720
Denmark,2020-04-03,Daily hospital occupancy,881.0344827586210
Denmark,2020-04-04,Daily hospital occupancy,858.6206896551720
Denmark,2020-04-05,Daily hospital occupancy,844.8275862068970
Denmark,2020-04-06,Daily hospital occupancy,841.3793103448280
Denmark,2020-04-07,Daily hospital occupancy,803.448275862069
Denmark,2020-04-08,Daily hospital occupancy,768.9655172413790
Denmark,2020-04-09,Daily hospital occupancy,736.2068965517240
Denmark,2020-04-10,Daily hospital occupancy,686.2068965517240
Denmark,2020-04-11,Daily hospital occupancy,693.103448275862
Denmark,2020-04-12,Daily hospital occupancy,674.1379310344830
Denmark,2020-04-13,Daily hospital occupancy,656.896551724138
Denmark,2020-04-14,Daily hospital occupancy,644.8275862068970
Denmark,2020-04-15,Daily hospital occupancy,612.0689655172410
Denmark,2020-04-16,Daily hospital occupancy,587.9310344827590
Denmark,2020-04-17,Daily hospital occupancy,581.0344827586210
Denmark,2020-04-18,Daily hospital occupancy,524.1379310344830
Denmark,2020-04-19,Daily hospital occupancy,522.4137931034480
Denmark,2020-04-20,Daily hospital occupancy,553.448275862069
Denmark,2020-04-21,Daily hospital occupancy,543.103448275862
Denmark,2020-04-22,Daily hospital occupancy,532.7586206896550
Denmark,2020-04-23,Daily hospital occupancy,522.4137931034480
Denmark,2020-04-24,Daily hospital occupancy,522.4137931034480
Denmark,2020-04-25,Daily hospital occupancy,475.86206896551700
Denmark,2020-04-26,Daily hospital occupancy,470.6896551724140
Denmark,2020-04-27,Daily hospital occupancy,505.17241379310300
Denmark,2020-04-28,Daily hospital occupancy,467.2413793103450
Denmark,2020-04-29,Daily hospital occupancy,437.93103448275900
Denmark,2020-04-30,Daily hospital occupancy,406.89655172413800
Denmark,2020-05-01,Daily hospital occupancy,394.82758620689700
Denmark,2020-05-02,Daily hospital occupancy,368.96551724137900
Denmark,2020-05-03,Daily hospital occupancy,387.93103448275900
